LAC,CI,LAC-CI,latitude,longtitude
10014,21141,10014-21141,23.1466,113.23428
10014,25484,10014-25484,23.136196,113.238298
10014,27217,10014-27217,23.13833,113.2244
10014,27218,10014-27218,23.13833,113.2244
10014,27219,10014-27219,23.13833,113.2244
10014,27904,10014-27904,23.13705,113.23971
10014,30797,10014-30797,23.145323,113.241028
10014,30798,10014-30798,23.145323,113.241028
10014,30799,10014-30799,23.145323,113.241028
10014,30987,10014-30987,23.142322,113.24051
10014,31101,10014-31101,23.140119,113.231296
10014,31124,10014-31124,23.14046,113.23783
10014,32041,10014-32041,23.136945,113.226709
10014,32997,10014-32997,23.135971,113.224067
10014,32998,10014-32998,23.135971,113.224067
10014,35587,10014-35587,23.14677,113.22965
10014,35588,10014-35588,23.14677,113.22965
10014,36967,10014-36967,23.139261,113.227146
10014,38887,10014-38887,23.14321,113.24773
10014,40126,10014-40126,23.1466,113.23428
10014,50271,10014-50271,23.14046,113.23783
10014,50272,10014-50272,23.14046,113.23783
10014,50273,10014-50273,23.14046,113.23783
10014,52265,10014-52265,23.13833,113.2244
10014,52266,10014-52266,23.13833,113.2244
10014,53226,10014-53226,23.145176,113.239414
10014,53804,10014-53804,23.14511,113.23734
10014,53805,10014-53805,23.14511,113.23734
10014,57624,10014-57624,23.13711,113.23449
10014,57625,10014-57625,23.13711,113.23449
10014,57626,10014-57626,23.13711,113.23449
10014,59276,10014-59276,23.13861,113.23039
10014,59277,10014-59277,23.13861,113.23039
10014,59278,10014-59278,23.13861,113.23039
10014,65400,10014-65400,23.13833,113.2244
10014,65401,10014-65401,23.13833,113.2244
10015,10727,10015-10727,23.12736,113.52822
10015,10971,10015-10971,23.12771,113.52476
10015,11107,10015-11107,23.12326,113.54392
10015,13501,10015-13501,23.11713,113.52042
10015,13502,10015-13502,23.11713,113.52042
10015,13503,10015-13503,23.11713,113.52042
10015,13894,10015-13894,23.11764,113.54313
10015,14181,10015-14181,23.11584,113.53337
10015,15987,10015-15987,23.11287,113.54057
10015,16161,10015-16161,23.11703,113.5202
10015,16162,10015-16162,23.11703,113.5202
10015,18125,10015-18125,23.11713,113.52042
10015,18344,10015-18344,23.10566,113.52693
10015,18345,10015-18345,23.10566,113.52693
10015,18346,10015-18346,23.10566,113.52693
